word,group,vector_x,vector_y
claridad,1,0.24845293,-0.7404108
coherencia,1,-0.9126406,-1.7897421
consistencia,1,-0.25646585,-0.90923613
expresividad,1,0.6906494,-1.2942989
intensidad,1,0.0053427834,-0.81523436
precisión,1,-0.52582264,-0.859544
puntualidad,1,-0.08694927,-0.6888988
rigor,1,-0.05983493,-0.62864226
sensibilidad,1,0.39848506,-1.2289779
versatilidad,1,-0.056733914,-1.024218
actitud,2,0.38371494,-0.58017594
alegría,2,1.8843515,0.24296808
alma,2,1.1186951,0.44985396
ambición,2,1.284079,-0.3088649
ambición_sana,2,0.6630057,0.017388422
amor,2,1.5303404,0.54864484
amor_al_arte,2,0.77091354,0.41834268
arrojo,2,1.0139794,-0.18090712
asertividad,2,0.38901037,-1.4574238
autoconfianza,2,0.96332973,-1.4862778
autocontrol,2,0.75407875,-1.0188355
autocrítica,2,0.2337683,-1.2185087
autoestima,2,1.2257434,-0.96445125
autoexigencia,2,-0.027804296,-0.92678183
belleza,2,1.151172,0.032479066
carisma,2,1.1161886,-0.6772693
chulería,2,1.3678423,0.42104578
civismo,2,0.65455365,-0.9967374
compañerismo,2,1.1981903,-0.43482217
conciencia,2,0.4474539,-0.67403877
confianza,2,0.7295537,-0.8739651
consciencia,2,0.7550823,-0.5690105
coraje,2,1.8176574,-0.4787816
creativa,2,0.100961424,-0.21227288
creatividad,2,0.7517595,-1.0881505
curiosidad,2,1.3927552,0.5797691
dedicación,2,0.25472695,-0.96419007
emoción,2,1.7053843,0.0434007
empatía,2,1.3923142,-1.1339939
empatía_social,2,0.275182,-0.8717925
empatia,2,1.4348866,-1.1641335
empatizar,2,0.6353669,-0.0010620441
entusiasmo,2,1.1438934,-0.23708965
esperanza,2,1.0374182,0.024614599
estoicidad,2,0.9055952,-1.0476394
felicidad,2,1.5979893,0.1832326
firmeza,2,0.45532796,-1.0680623
fortaleza,2,0.6106011,-0.41029406
fortaleza_mental,2,0.443013,-0.3586828
fuera_de_voluntad,2,0.5927668,-0.721028
fuerza_de_voluntad,2,0.4496239,-0.6374777
fuerza_y_dedicación,2,0.28060392,-0.7590587
generosidad,2,1.3648226,-0.68719506
habilidades,2,0.316829,-0.315669
humildad,2,1.7357855,-0.9934945
ilusión,2,1.093435,0.20950466
imaginación,2,1.3795059,-0.1385843
inconformismo,2,0.6133775,-0.67146146
ingenio,2,0.90174544,-0.10987362
inquietud,2,0.5446582,-0.30889764
inteligencia,2,0.23116267,-0.69780463
inteligencia_emocional,2,0.46197015,-0.54458314
irreverencia,2,1.0172338,-0.31315348
madurez,2,0.3389643,-1.1256838
motivación,2,0.30768436,-0.7961736
no_pasotismo,2,0.62868625,-0.09531238
optimismo,2,1.0373788,-0.6446559
paciencia,2,1.6770391,-0.44763836
pasión,2,1.5648721,-0.026198685
perseverancia,2,1.089655,-1.1452625
